region_name,district_name,municipality_name,id,mp_id,p1_1_1_1_name,p1_1_1_2_district_hq,p1_1_1_2_grade,p1_1_1_2_metro,p1_1_1_3_area,p1_1_1_4_district,p1_1_1_4_i_wards,p1_1_1_4_ii_division,p1_1_1_4_iii_zone,p1_1_2,p1_1_3_1_sc_11_no,p1_1_3_1_sc_11_ma,p1_1_3_1_sc_11_fe,p1_1_3_1_sc_11_tot,p1_1_3_1_sc_25_no,p1_1_3_1_sc_25_ma,p1_1_3_1_sc_25_fe,p1_1_3_1_sc_25_tg,p1_1_3_1_sc_25_tot,p1_1_3_2_st_11_no,p1_1_3_2_st_11_ma,p1_1_3_2_st_11_fe,p1_1_3_2_st_11_tot,p1_1_3_2_st_25_no,p1_1_3_2_st_25_ma,p1_1_3_2_st_25_fe,p1_1_3_2_st_25_tg,p1_1_3_2_st_25_tot,p1_1_3_3_oth_11_no,p1_1_3_3_oth_11_ma,p1_1_3_3_oth_11_fe,p1_1_3_3_oth_11_tot,p1_1_3_3_oth_25_no,p1_1_3_3_oth_25_ma,p1_1_3_3_oth_25_fe,p1_1_3_3_oth_25_tg,p1_1_3_3_oth_25_tot,p1_1_3_4_tot_11_no,p1_1_3_4_tot_11_ma,p1_1_3_4_tot_11_fe,p1_1_3_4_tot_11_tot,p1_1_3_4_tot_25_no,p1_1_3_4_tot_25_ma,p1_1_3_4_tot_25_fe,p1_1_3_4_tot_25_tg,p1_1_3_4_tot_25_tot,p1_1_4_1_11_slum,p1_1_4_1_11_nos,p1_1_4_1_11_tot,p1_1_4_1_25_slum,p1_1_4_1_25_nos,p1_1_4_1_25_tot,p1_1_4_2_11_slum,p1_1_4_2_11_nos,p1_1_4_2_11_tot,p1_1_4_2_25_slum,p1_1_4_2_25_nos,p1_1_4_2_25_tot,p1_1_5_family,p1_1_5_populatn,p1_1_6_1_avg_day,p1_1_6_1_avg_week,is_verified,is_approved,created_at,updated_at,verified_at,approved_at,id,mp_id,p1_1_10_1,p1_1_10_2,created_at,updated_at
Chengalpattu,Chengalpattu,Chengalpattu,34,1,Chengalpattu,Chengalpattu,Ist Grade,,6.09,Chengalpattu,33,0,,"[""DTCP""]",2437,4786,4947,9733,3460,6796,7014,5,13815,226,449,454,903,321,638,542,8,1188,13012,25747,26196,51943,13733,37563,36987,0,74550,15675,30982,31597,62579,17514,44997,44543,13,89553,7,4640,18562,7,5104,20418,8,3577,14311,8,3935,15742,4005,32873,700,1000,TRUE,TRUE,23:08.8,48:10.0,48:10.0,45:38.0,34,1,"[""78""]","[""78""]",23:08.8,48:10.0
Chengalpattu,Chengalpattu,Madhuranthagam,28,3,Madhuranthagam,Chengalpattu,IInd Grade,,23.62,Chengalpattu,24,0,,"[""DTCP""]",1692,3224,3065,6289,1725,3297,3602,1,6900,50,86,114,200,57,98,132,0,230,5957,11944,12363,24307,6294,12617,14248,0,26865,7699,15254,15542,30796,8076,16012,17982,1,33995,8,1742,6489,8,1782,7129,5,2142,10710,5,2260,9048,4228,16212,1000,2500,TRUE,TRUE,05:26.4,39:26.0,39:26.0,54:06.0,28,3,"[""75""]","[""75""]",05:26.4,39:26.0
