region_name,district_name,municipality_name,id,mp_id,p2_2_1_5_1_ts_app,p2_2_1_5_1_ts_sal,p2_2_1_5_1_os_app,p2_2_1_5_1_os_sal,p2_2_1_5_2_ts_app,p2_2_1_5_2_ts_sal,p2_2_1_5_2_os_app,p2_2_1_5_2_os_sal,p2_2_1_5_3_ts_app,p2_2_1_5_3_ts_sal,p2_2_1_5_3_os_app,p2_2_1_5_3_os_sal,p2_2_1_5_4_ts_app,p2_2_1_5_4_ts_sal,p2_2_1_5_4_os_app,p2_2_1_5_4_os_sal,p2_2_1_5_5_ts_app,p2_2_1_5_5_ts_sal,p2_2_1_5_5_os_app,p2_2_1_5_5_os_sal,p2_2_1_5_tot_ts_app,p2_2_1_5_tot_ts_sal,p2_2_1_5_tot_os_app,p2_2_1_5_tot_os_sal,created_at,updated_at,is_verified,is_approved,verified_at,approved_at,id,mp_id,p2_2_2_1_21,p2_2_2_1_22,p2_2_2_1_23,p2_2_2_1_24,p2_2_2_1_25,p2_2_2_1_26,p2_2_2_2_21,p2_2_2_2_22,p2_2_2_2_23,p2_2_2_2_24,p2_2_2_2_25,p2_2_2_2_26,p2_2_2_3_21,p2_2_2_3_22,p2_2_2_3_23,p2_2_2_3_24,p2_2_2_3_25,p2_2_2_3_26,p2_2_2_4_21,p2_2_2_4_22,p2_2_2_4_23,p2_2_2_4_24,p2_2_2_4_25,p2_2_2_4_26,p2_2_2_5_21,p2_2_2_5_22,p2_2_2_5_23,p2_2_2_5_24,p2_2_2_5_25,p2_2_2_5_26,p2_2_2_6_21,p2_2_2_6_22,p2_2_2_6_23,p2_2_2_6_24,p2_2_2_6_25,p2_2_2_6_26,p2_2_2_tot_21,p2_2_2_tot_22,p2_2_2_tot_23,p2_2_2_tot_24,p2_2_2_tot_25,p2_2_2_tot_26,p2_2_3_1_ops_21,p2_2_3_1_ops_22,p2_2_3_1_ops_23,p2_2_3_1_ops_24,p2_2_3_1_ops_25,p2_2_3_1_ops_26,p2_2_3_1_cps_21,p2_2_3_1_cps_22,p2_2_3_1_cps_23,p2_2_3_1_cps_24,p2_2_3_1_cps_25,p2_2_3_1_cps_26,p2_2_3_1_tot_21,p2_2_3_1_tot_22,p2_2_3_1_tot_23,p2_2_3_1_tot_24,p2_2_3_1_tot_25,p2_2_3_1_tot_26,p2_2_3_2_ops_21,p2_2_3_2_ops_22,p2_2_3_2_ops_23,p2_2_3_2_ops_24,p2_2_3_2_ops_25,p2_2_3_2_ops_26,p2_2_3_2_cps_21,p2_2_3_2_cps_22,p2_2_3_2_cps_23,p2_2_3_2_cps_24,p2_2_3_2_cps_25,p2_2_3_2_cps_26,p2_2_3_2_tot_21,p2_2_3_2_tot_22,p2_2_3_2_tot_23,p2_2_3_2_tot_24,p2_2_3_2_tot_25,p2_2_3_2_tot_26,p2_2_4_1_21,p2_2_4_1_22,p2_2_4_1_23,p2_2_4_1_24,p2_2_4_1_25,p2_2_4_1_26,p2_2_4_2_21,p2_2_4_2_22,p2_2_4_2_23,p2_2_4_2_24,p2_2_4_2_25,p2_2_4_2_26,p2_2_4_3_21,p2_2_4_3_22,p2_2_4_3_23,p2_2_4_3_24,p2_2_4_3_25,p2_2_4_3_26,p2_2_4_4_21,p2_2_4_4_22,p2_2_4_4_23,p2_2_4_4_24,p2_2_4_4_25,p2_2_4_4_26,p2_2_4_5_21,p2_2_4_5_22,p2_2_4_5_23,p2_2_4_5_24,p2_2_4_5_25,p2_2_4_5_26,p2_2_4_6_21,p2_2_4_6_22,p2_2_4_6_23,p2_2_4_6_24,p2_2_4_6_25,p2_2_4_6_26,p2_2_4_7_21,p2_2_4_7_22,p2_2_4_7_23,p2_2_4_7_24,p2_2_4_7_25,p2_2_4_7_26,p2_2_4_oth_txt,p2_2_4_8_21,p2_2_4_8_22,p2_2_4_8_23,p2_2_4_8_24,p2_2_4_8_25,p2_2_4_8_26,p2_2_4_tot_21,p2_2_4_tot_22,p2_2_4_tot_23,p2_2_4_tot_24,p2_2_4_tot_25,p2_2_4_tot_26,created_at,updated_at
Chengalpattu,Chengalpattu,Chengalpattu,110,1,0,0,83,12948000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,12948000,04:48.4,24:23.0,TRUE,TRUE,24:23.0,45:56.0,110,1,48.71,48.97,49.01,49.18,50.82,51.84,214.53,214.67,215.02,215.13,215.96,216.28,75.47,75.98,76.18,76.94,77.05,78,9.17,9.43,9.96,10.04,10.11,10.68,0,0,0,0,0,0,0,0,0,0,0,0,347.88,349.05,350.17,351.29,353.94,356.8,11,9,4,6,7,4,2,4,1,3,2,6,13,13,5,9,9,10,1,4,7,3,9,24,4,9,13,17,16,59,5,13,20,20,25,,11,19,24,26,37,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.5,305.22,404.63,129.74,133.63,137.64,nIL,0,0,0,0,0,0,414.5,305.22,404.63,129.74,133.63,137.64,04:48.4,24:23.0
Chengalpattu,Chengalpattu,Madhuranthagam,14,3,35,600000,68,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,600000,68,1400000,45:24.0,13:10.0,TRUE,TRUE,13:10.0,54:25.0,14,3,94.52,96.85,110.1,110.22,111.53,112.83,65.7,67.8,96.9,95.1,96.32,97.35,90.3,93.5,104.01,90.46,91.46,92.96,18.47,19,40.5,40,41.61,42,20.6,24.7,40.9,24.2,28.9,28,12.8,14.75,40.87,25.92,27.63,36.27,302.39,316.6,433.28,385.9,397.45,409.41,1,1,2,1,2,2,0,0,0,1,1,2,1,1,2,2,3,4,2,3,0,1,2,8,2,0,1,0,0,3,4,3,1,1,2,,25,28,32,41,45,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.48,86.25,155.14,183.34,188.84,194.45,0,0,0,0,0,0,0,0,0,0,0,0,0,106.48,86.25,155.14,183.34,188.84,194.45,45:24.0,13:10.0
